item	director
1237	nm0000005
5147	nm0000005
7327	nm0000005
2068	nm0000005
7396	nm0000005
7820	nm0000005
4422	nm0000005
7939	nm0000005
7938	nm0000005
7941	nm0000005
7937	nm0000005
2131	nm0000005
34155	nm0000005
7936	nm0000005
7940	nm0000005
7577	nm0000005
7942	nm0000005
8405	nm0000005
7328	nm0000005
1251	nm0000019
8154	nm0000019
7234	nm0000019
7089	nm0000019
2351	nm0000019
8848	nm0000019
7067	nm0000019
4283	nm0000019
4282	nm0000019
904	nm0000033
1219	nm0000033
908	nm0000033
903	nm0000033
1333	nm0000033
2186	nm0000033
1086	nm0000033
930	nm0000033
928	nm0000033
933	nm0000033
2176	nm0000033
965	nm0000033
2183	nm0000033
2203	nm0000033
2208	nm0000033
931	nm0000033
2206	nm0000033
2202	nm0000033
2212	nm0000033
2184	nm0000033
2181	nm0000033
2178	nm0000033
929	nm0000033
2210	nm0000033
2221	nm0000033
2227	nm0000033
2204	nm0000033
2182	nm0000033
2180	nm0000033
2177	nm0000033
2205	nm0000033
2185	nm0000033
2187	nm0000033
3022	nm0000036
25750	nm0000036
25769	nm0000036
8609	nm0000036
25764	nm0000036
7074	nm0000036
3232	nm0000036
8275	nm0000036
899	nm0000037
3606	nm0000037
8999	nm0000037
6732	nm0000037
1258	nm0000040
1206	nm0000040
1222	nm0000040
750	nm0000040
924	nm0000040
2712	nm0000040
2728	nm0000040
1178	nm0000040
2729	nm0000040
2730	nm0000040
2726	nm0000040
2727	nm0000040
2019	nm0000041
5291	nm0000041
3030	nm0000041
1217	nm0000041
6669	nm0000041
7766	nm0000041
7925	nm0000041
2905	nm0000041
3091	nm0000041
7926	nm0000041
3470	nm0000041
5498	nm0000041
7924	nm0000041
26064	nm0000041
7919	nm0000041
8740	nm0000041
26222	nm0000041
6270	nm0000041
3066	nm0000041
4441	nm0000045
4444	nm0000045
1941	nm0000059
25901	nm0000059
7338	nm0000059
2731	nm0000076
6305	nm0000076
2732	nm0000076
7135	nm0000076
6271	nm0000076
7136	nm0000076
4840	nm0000076
26360	nm0000076
26170	nm0000076
4042	nm0000078
6394	nm0000078
923	nm0000080
1248	nm0000080
25940	nm0000080
5177	nm0000080
25927	nm0000080
6460	nm0000080
33072	nm0000080
30701	nm0000080
2848	nm0000080
26002	nm0000080
1230	nm0000095
41285	nm0000095
1244	nm0000095
86882	nm0000095
60950	nm0000095
1077	nm0000095
6993	nm0000095
2973	nm0000095
7934	nm0000095
2065	nm0000095
348	nm0000095
1078	nm0000095
52	nm0000095
3814	nm0000095
1701	nm0000095
492	nm0000095
2750	nm0000095
5339	nm0000095
7983	nm0000095
3129	nm0000095
3813	nm0000095
1057	nm0000095
57147	nm0000095
2356	nm0000095
32291	nm0000095
3812	nm0000095
1963	nm0000095
3618	nm0000095
4393	nm0000095
4409	nm0000095
46967	nm0000095
6750	nm0000095
103980	nm0000095
80864	nm0000095
2290	nm0000095
6100	nm0000095
4628	nm0000095
6584	nm0000095
4392	nm0000095
69604	nm0000095
4733	nm0000095
5348	nm0000095
95201	nm0000095
113225	nm0000095
1527	nm0000108
293	nm0000108
1249	nm0000108
1216	nm0000108
50162	nm0000108
3053	nm0000108
47725	nm0000108
111360	nm0000108
497	nm0000110
86332	nm0000110
1411	nm0000110
1224	nm0000110
3044	nm0000110
273	nm0000110
3045	nm0000110
55278	nm0000110
108188	nm0000110
1051	nm0000114
55205	nm0000114
8495	nm0000114
589	nm0000116
1240	nm0000116
1200	nm0000116
1721	nm0000116
72998	nm0000116
1127	nm0000116
380	nm0000116
2288	nm0000118
1982	nm0000118
1129	nm0000118
3699	nm0000118
3726	nm0000118
2517	nm0000118
1128	nm0000118
26603	nm0000118
3740	nm0000118
4553	nm0000118
407	nm0000118
26285	nm0000118
2328	nm0000118
4735	nm0000118
332	nm0000118
6734	nm0000118
849	nm0000118
3462	nm0000122
1281	nm0000122
3307	nm0000122
3629	nm0000122
3310	nm0000122
3632	nm0000122
3559	nm0000122
8511	nm0000122
3306	nm0000122
39292	nm0000123
89804	nm0000123
58839	nm0000123
108928	nm0000123
590	nm0000126
6617	nm0000126
1726	nm0000126
1407	nm0000127
1347	nm0000127
35957	nm0000127
4541	nm0000127
5569	nm0000127
50912	nm0000127
5588	nm0000127
1717	nm0000127
3273	nm0000127
366	nm0000127
7930	nm0000127
32011	nm0000127
86295	nm0000127
2996	nm0000127
428	nm0000134
49822	nm0000134
30707	nm0000142
64614	nm0000142
6870	nm0000142
1266	nm0000142
4855	nm0000142
50068	nm0000142
3508	nm0000142
105	nm0000142
48783	nm0000142
2921	nm0000142
1711	nm0000142
507	nm0000142
4803	nm0000142
6809	nm0000142
63062	nm0000142
3827	nm0000142
72733	nm0000142
6078	nm0000142
4479	nm0000142
2401	nm0000142
1459	nm0000142
2561	nm0000142
4957	nm0000142
33036	nm0000142
4947	nm0000142
6812	nm0000142
81512	nm0000142
5506	nm0000142
90719	nm0000142
2476	nm0000142
114662	nm0000142
4787	nm0000149
86852	nm0000149
57	nm0000149
94466	nm0000149
110	nm0000154
48304	nm0000154
7318	nm0000154
491	nm0000154
27002	nm0000158
7502	nm0000158
1042	nm0000158
87522	nm0000158
4995	nm0000165
150	nm0000165
33660	nm0000165
832	nm0000165
2407	nm0000165
64620	nm0000165
2100	nm0000165
3526	nm0000165
2518	nm0000165
2193	nm0000165
3107	nm0000165
3988	nm0000165
45447	nm0000165
68554	nm0000165
2567	nm0000165
6950	nm0000165
371	nm0000165
2374	nm0000165
3259	nm0000165
104913	nm0000165
41863	nm0000169
85213	nm0000169
1250	nm0000180
1204	nm0000180
2067	nm0000180
25923	nm0000180
2927	nm0000180
8341	nm0000180
7087	nm0000180
7585	nm0000180
31374	nm0000180
260	nm0000184
33493	nm0000184
3363	nm0000184
6645	nm0000184
2628	nm0000184
5378	nm0000184
4848	nm0000186
2076	nm0000186
2313	nm0000186
1464	nm0000186
2966	nm0000186
3676	nm0000186
7044	nm0000186
49932	nm0000186
2021	nm0000186
3262	nm0000186
5294	nm0000200
37739	nm0000200
36	nm0000209
1171	nm0000209
3145	nm0000209
48516	nm0000217
1213	nm0000217
111	nm0000217
16	nm0000217
74458	nm0000217
30812	nm0000217
1228	nm0000217
5956	nm0000217
90866	nm0000217
8042	nm0000217
7419	nm0000217
6001	nm0000217
2474	nm0000217
2022	nm0000217
38304	nm0000217
5385	nm0000217
412	nm0000217
8838	nm0000217
1730	nm0000217
58879	nm0000217
2976	nm0000217
1343	nm0000217
106782	nm0000217
8755	nm0000217
4628	nm0000217
26391	nm0000217
1198	nm0000229
527	nm0000229
2028	nm0000229
480	nm0000229
1291	nm0000229
5445	nm0000229
5989	nm0000229
1097	nm0000229
2115	nm0000229
1387	nm0000229
3471	nm0000229
41997	nm0000229
4370	nm0000229
34048	nm0000229
2739	nm0000229
4103	nm0000229
90746	nm0000229
26242	nm0000229
3738	nm0000229
3489	nm0000229
1544	nm0000229
59615	nm0000229
26492	nm0000229
4564	nm0000229
8529	nm0000229
1693	nm0000229
98154	nm0000229
91126	nm0000229
7104	nm0000229
2409	nm0000230
2411	nm0000230
2410	nm0000230
57528	nm0000230
49651	nm0000230
79695	nm0000230
1090	nm0000231
288	nm0000231
3386	nm0000231
4007	nm0000231
4008	nm0000231
62437	nm0000231
46974	nm0000231
4407	nm0000231
4009	nm0000231
8977	nm0000231
1627	nm0000231
80590	nm0000231
3173	nm0000231
14	nm0000231
1093	nm0000231
95583	nm0000231
296	nm0000233
6874	nm0000233
1089	nm0000233
7438	nm0000233
32587	nm0000233
68157	nm0000233
1729	nm0000233
52281	nm0000233
53519	nm0000233
99114	nm0000233
18	nm0000233
56885	nm0000243
5955	nm0000243
1573	nm0000247
3265	nm0000247
1218	nm0000247
61026	nm0000247
26585	nm0000247
26681	nm0000247
7163	nm0000247
3623	nm0000247
95	nm0000247
5420	nm0000247
464	nm0000247
6387	nm0000247
68486	nm0000247
55290	nm0000255
80489	nm0000255
97304	nm0000255
5878	nm0000264
44694	nm0000264
3083	nm0000264
8973	nm0000264
3067	nm0000264
1844	nm0000264
72386	nm0000264
26599	nm0000264
7011	nm0000264
26527	nm0000264
1190	nm0000264
89118	nm0000264
567	nm0000264
617	nm0000264
7037	nm0000264
5060	nm0000265
5013	nm0000265
2289	nm0000265
535	nm0000265
45028	nm0000265
2511	nm0000265
2303	nm0000265
3093	nm0000265
8261	nm0000265
26313	nm0000265
2088	nm0000265
2583	nm0000265
305	nm0000265
2467	nm0000269
3412	nm0000269
3036	nm0000269
7010	nm0000269
4223	nm0000269
8534	nm0000269
1619	nm0000269
1293	nm0000277
7980	nm0000277
534	nm0000277
4095	nm0000277
6345	nm0000277
7618	nm0000277
1278	nm0000316
3671	nm0000316
2300	nm0000316
3033	nm0000316
12	nm0000316
520	nm0000316
2301	nm0000316
26386	nm0000316
8512	nm0000316
2291	nm0000318
592	nm0000318
7147	nm0000318
2174	nm0000318
30793	nm0000318
3081	nm0000318
37729	nm0000318
235	nm0000318
1377	nm0000318
56757	nm0000318
74789	nm0000318
3608	nm0000318
1391	nm0000318
4643	nm0000318
32840	nm0000318
97172	nm0000318
94478	nm0000318
6666	nm0000320
25771	nm0000320
154	nm0000320
4928	nm0000320
8620	nm0000320
8239	nm0000320
25963	nm0000320
25774	nm0000320
26318	nm0000320
4399	nm0000320
52528	nm0000320
49394	nm0000320
26547	nm0000329
2880	nm0000329
27032	nm0000329
2879	nm0000329
3972	nm0000329
42946	nm0000329
36850	nm0000329
858	nm0000338
1221	nm0000338
1208	nm0000338
2023	nm0000338
1339	nm0000338
3730	nm0000338
2114	nm0000338
2469	nm0000338
26485	nm0000338
4557	nm0000338
1672	nm0000338
4690	nm0000338
765	nm0000338
4628	nm0000338
2747	nm0000339
2784	nm0000339
4403	nm0000339
2782	nm0000339
2527	nm0000341
6990	nm0000341
3015	nm0000341
2826	nm0000341
37733	nm0000343
55118	nm0000343
2455	nm0000343
6774	nm0000343
7123	nm0000343
2118	nm0000343
6197	nm0000343
2551	nm0000343
5853	nm0000343
6748	nm0000343
89761	nm0000343
31270	nm0000343
7029	nm0000343
2600	nm0000343
1483	nm0000343
27373	nm0000345
237	nm0000345
648	nm0000361
4262	nm0000361
2194	nm0000361
431	nm0000361
1345	nm0000361
5712	nm0000361
4577	nm0000361
4932	nm0000361
3354	nm0000361
48142	nm0000361
26303	nm0000361
4789	nm0000361
2126	nm0000361
5809	nm0000361
7616	nm0000361
3130	nm0000361
837	nm0000362
4681	nm0000362
4333	nm0000362
5265	nm0000362
6997	nm0000362
6763	nm0000362
1719	nm0000382
233	nm0000382
39419	nm0000382
3055	nm0000382
76079	nm0000382
5817	nm0000382
780	nm0000386
316	nm0000386
8361	nm0000386
72378	nm0000386
1882	nm0000386
58293	nm0000386
2808	nm0000386
3753	nm0000386
90645	nm0000386
103339	nm0000386
5438	nm0000389
49280	nm0000389
87194	nm0000389
2959	nm0000399
47	nm0000399
80463	nm0000399
64957	nm0000399
51540	nm0000399
91658	nm0000399
5266	nm0000399
1625	nm0000399
112556	nm0000399
1320	nm0000399
3095	nm0000406
4406	nm0000406
3365	nm0000406
7072	nm0000406
3035	nm0000406
1226	nm0000406
7210	nm0000406
1935	nm0000406
25938	nm0000406
46803	nm0000406
5440	nm0000406
5826	nm0000406
8661	nm0000406
25916	nm0000406
8227	nm0000406
4401	nm0000406
1356	nm0000408
2393	nm0000408
53138	nm0000408
1136	nm0000416
32	nm0000416
6807	nm0000416
1199	nm0000416
1884	nm0000416
3108	nm0000416
2968	nm0000416
4467	nm0000416
69951	nm0000416
36401	nm0000416
4911	nm0000416
47465	nm0000416
4914	nm0000419
6023	nm0000419
680	nm0000419
7748	nm0000419
1572	nm0000419
7043	nm0000419
8738	nm0000419
7749	nm0000419
31930	nm0000419
1173	nm0000425
1554	nm0000425
3221	nm0000425
3223	nm0000425
8732	nm0000425
4500	nm0000425
7065	nm0000428
7243	nm0000428
6988	nm0000428
8958	nm0000431
4041	nm0000431
230	nm0000431
3998	nm0000431
1645	nm0000431
100108	nm0000431
26562	nm0000431
3206	nm0000431
3761	nm0000431
1617	nm0000436
3317	nm0000436
5810	nm0000436
38798	nm0000436
3249	nm0000436
87660	nm0000436
376	nm0000436
4017	nm0000438
61986	nm0000438
3168	nm0000454
4488	nm0000454
2918	nm0000455
1968	nm0000455
2144	nm0000455
4002	nm0000455
2134	nm0000455
4679	nm0000455
6558	nm0000455
34437	nm0000464
3328	nm0000464
714	nm0000464
1273	nm0000464
7460	nm0000464
1279	nm0000464
3521	nm0000464
3925	nm0000464
107771	nm0000464
69516	nm0000464
4973	nm0000466
29	nm0000466
1175	nm0000466
27721	nm0000466
76173	nm0000466
1690	nm0000466
1220	nm0000484
3421	nm0000484
3039	nm0000484
1321	nm0000484
26492	nm0000484
4079	nm0000484
3760	nm0000484
4489	nm0000484
2478	nm0000484
1772	nm0000484
26555	nm0000484
6424	nm0000484
420	nm0000484
2010	nm0000485
1260	nm0000485
5017	nm0000485
8670	nm0000485
25825	nm0000485
5169	nm0000485
4768	nm0000485
25911	nm0000485
3996	nm0000487
39183	nm0000487
17	nm0000487
1635	nm0000487
232	nm0000487
55253	nm0000487
7023	nm0000487
97938	nm0000487
3117	nm0000487
6534	nm0000487
70984	nm0000487
44199	nm0000490
5954	nm0000490
3424	nm0000490
3246	nm0000490
2702	nm0000490
159	nm0000490
4217	nm0000490
3426	nm0000490
3865	nm0000490
352	nm0000490
49917	nm0000490
1840	nm0000490
3943	nm0000490
6863	nm0000500
441	nm0000500
8638	nm0000500
27904	nm0000500
215	nm0000500
4873	nm0000500
6978	nm0000500
49347	nm0000500
72703	nm0000500
112290	nm0000500
34321	nm0000500
1454	nm0000500
100714	nm0000500
94896	nm0000500
4888	nm0000500
2427	nm0000517
3741	nm0000517
42418	nm0000517
2932	nm0000517
86898	nm0000517
1834	nm0000519
4037	nm0000519
59336	nm0000519
2611	nm0000519
4029	nm0000519
4889	nm0000519
7348	nm0000519
6	nm0000520
8798	nm0000520
1408	nm0000520
3006	nm0000520
69640	nm0000520
4210	nm0000520
5867	nm0000520
47044	nm0000520
5009	nm0000520
8196	nm0000540
390	nm0000540
1376	nm0000559
1375	nm0000559
5308	nm0000559
2140	nm0000568
2746	nm0000568
3809	nm0000568
4499	nm0000568
2770	nm0000568
53956	nm0000568
60	nm0000568
3398	nm0000568
1614	nm0000568
8373	nm0000568
4448	nm0000568
6999	nm0000568
4326	nm0000570
3060	nm0000570
3498	nm0000570
1416	nm0000570
3706	nm0000570
3342	nm0000570
4936	nm0000570
6798	nm0000570
1298	nm0000570
3179	nm0000570
6187	nm0000570
518	nm0000570
55247	nm0000576
4056	nm0000576
7918	nm0000576
78	nm0000576
7789	nm0000576
926	nm0000581
5120	nm0000581
3549	nm0000581
943	nm0000581
25952	nm0000581
4274	nm0000581
51678	nm0000581
3872	nm0000581
4420	nm0000581
7211	nm0000581
1233	nm0000583
2161	nm0000583
474	nm0000583
3755	nm0000583
292	nm0000583
7481	nm0000583
45442	nm0000583
7458	nm0000583
1608	nm0000583
5995	nm0000591
1252	nm0000591
2160	nm0000591
74545	nm0000591
3075	nm0000591
6530	nm0000591
6858	nm0000591
90430	nm0000591
4506	nm0000591
37736	nm0000591
229	nm0000591
7069	nm0000591
8923	nm0000591
3355	nm0000591
8928	nm0000591
42900	nm0000591
347	nm0000591
5349	nm0000600
8636	nm0000600
1261	nm0000600
52722	nm0000600
2391	nm0000600
68952	nm0000600
4020	nm0000600
6966	nm0000600
4105	nm0000600
1215	nm0000600
303	nm0000600
2861	nm0000600
101112	nm0000600
1265	nm0000601
3552	nm0000601
2795	nm0000601
40959	nm0000601
719	nm0000601
2539	nm0000601
5900	nm0000601
69436	nm0000601
3968	nm0000601
300	nm0000602
3100	nm0000602
1956	nm0000602
4523	nm0000602
55946	nm0000602
1727	nm0000602
88950	nm0000602
3978	nm0000602
800	nm0000626
4322	nm0000626
314	nm0000626
3090	nm0000626
3700	nm0000626
1187	nm0000626
2682	nm0000626
5447	nm0000626
3578	nm0000631
1214	nm0000631
541	nm0000631
5010	nm0000631
55765	nm0000631
3418	nm0000631
6708	nm0000631
33162	nm0000631
4572	nm0000631
5965	nm0000631
4148	nm0000631
94864	nm0000631
2143	nm0000631
1586	nm0000631
62374	nm0000631
86	nm0000631
77866	nm0000631
49130	nm0000631
8905	nm0000631
5012	nm0000659
3528	nm0000659
1353	nm0000659
1358	nm0000671
4031	nm0000671
2916	nm0000682
2985	nm0000682
1092	nm0000682
52042	nm0000682
7586	nm0000682
1676	nm0000682
3826	nm0000682
193	nm0000682
7307	nm0000682
2926	nm0000691
532	nm0000691
2361	nm0000691
7920	nm0000691
26680	nm0000691
2282	nm0000691
3858	nm0000691
5780	nm0000691
8872	nm0000691
4863	nm0000691
1211	nm0000694
1305	nm0000694
2677	nm0000694
6021	nm0000694
87004	nm0000694
1306	nm0000694
3920	nm0000694
4146	nm0000694
38701	nm0000694
910	nm0000697
922	nm0000697
3435	nm0000697
909	nm0000697
915	nm0000697
5008	nm0000697
3196	nm0000697
4359	nm0000697
3736	nm0000697
1938	nm0000697
6579	nm0000697
6581	nm0000697
937	nm0000697
3076	nm0000697
4186	nm0000697
8336	nm0000697
49200	nm0000697
6573	nm0000697
7093	nm0000697
356	nm0000709
1270	nm0000709
4022	nm0000709
2987	nm0000709
1584	nm0000709
2406	nm0000709
5125	nm0000709
3798	nm0000709
55995	nm0000709
2011	nm0000709
2012	nm0000709
8965	nm0000709
3258	nm0000709
72294	nm0000709
97923	nm0000709
2791	nm0000720
5500	nm0000720
5541	nm0000720
2463	nm0000720
466	nm0000720
2027	nm0000720
2944	nm0000736
3546	nm0000736
4220	nm0000736
6448	nm0000736
4426	nm0000736
26116	nm0000736
33126	nm0000736
22	nm0000750
6264	nm0000750
1689	nm0000750
2605	nm0000750
72228	nm0000750
2875	nm0000750
2285	nm0000755
53887	nm0000755
56782	nm0000759
3160	nm0000759
1673	nm0000759
5673	nm0000759
2952	nm0000759
96728	nm0000759
116799	nm0000759
3360	nm0000770
524	nm0000770
3788	nm0000774
8195	nm0000774
26094	nm0000774
4325	nm0000774
32792	nm0000774
26350	nm0000774
26237	nm0000774
7566	nm0000776
4508	nm0000776
3077	nm0000776
51471	nm0000776
52767	nm0000776
50658	nm0000776
26712	nm0000776
4835	nm0000776
6989	nm0000776
7039	nm0000776
82169	nm0000776
5316	nm0000776
50742	nm0000776
97673	nm0000776
3082	nm0000776
282	nm0000776
5387	nm0000776
33171	nm0000777
1529	nm0000777
56079	nm0000777
166	nm0000777
265	nm0000778
207	nm0000778
6954	nm0000780
4612	nm0000780
8933	nm0000780
4437	nm0000783
7115	nm0000783
6140	nm0000783
6803	nm0000783
41014	nm0000783
4794	nm0000783
3587	nm0000783
261	nm0000788
5011	nm0000788
4966	nm0000791
6561	nm0000791
3930	nm0000791
1235	nm0000797
1292	nm0000797
3200	nm0000797
3724	nm0000797
3099	nm0000797
50912	nm0000801
81817	nm0000801
4297	nm0000806
1873	nm0000806
1480	nm0000806
469	nm0000806
5666	nm0000812
482	nm0000812
1954	nm0000814
2420	nm0000814
2412	nm0000814
2422	nm0000814
2421	nm0000814
4616	nm0000814
8010	nm0000814
408	nm0000814
1271	nm0000816
61697	nm0000816
53207	nm0000816
140	nm0000816
6979	nm0000824
5693	nm0000824
4545	nm0000824
89	nm0000824
3705	nm0000824
5553	nm0000824
8268	nm0000824
227	nm0000824
26464	nm0000824
5944	nm0000829
1792	nm0000829
494	nm0000829
5002	nm0000835
2116	nm0000835
7228	nm0000835
31150	nm0000835
3917	nm0000850
7951	nm0000850
177	nm0000850
7991	nm0000860
5940	nm0000860
38886	nm0000876
74916	nm0000876
56274	nm0000876
102800	nm0000876
72	nm0000876
3205	nm0000878
3832	nm0000878
53996	nm0000881
69526	nm0000881
1917	nm0000881
34319	nm0000881
4310	nm0000881
733	nm0000881
145	nm0000881
6548	nm0000881
87520	nm0000881
112370	nm0000881
102033	nm0000881
1883	nm0000886
2779	nm0000886
2929	nm0000886
2616	nm0000886
4661	nm0000887
5237	nm0000887
5642	nm0000887
1833	nm0000887
490	nm0000887
100	nm0000887
1264	nm0000894
7042	nm0000894
2324	nm0000905
2593	nm0000905
48032	nm0000905
4205	nm0000907
921	nm0000907
4526	nm0000907
2375	nm0000907
276	nm0000907
691	nm0000907
489	nm0000907
1955	nm0000914
281	nm0000914
3111	nm0000914
6927	nm0000914
1791	nm0000914
55255	nm0000914
1962	nm0000915
3811	nm0000915
2070	nm0000915
4688	nm0000915
2881	nm0000915
5947	nm0000915
54736	nm0000916
8937	nm0000916
60074	nm0000916
6764	nm0000916
2387	nm0000916
107069	nm0000916
94018	nm0000916
6974	nm0000921
361	nm0000921
3614	nm0000921
762	nm0000921
1960	nm0000934
7265	nm0000934
7008	nm0000934
2925	nm0000934
26359	nm0000934
365	nm0000934
781	nm0000934
69481	nm0000941
198	nm0000941
3727	nm0000941
98961	nm0000941
5479	nm0000941
4351	nm0000941
299	nm0000944
2560	nm0000944
38061	nm0000948
102125	nm0000948
6724	nm0000953
3152	nm0000953
8880	nm0000953
6533	nm0000953
7647	nm0000953
6727	nm0000953
377	nm0000957
2719	nm0000957
736	nm0000957
1556	nm0000957
6564	nm0000957
2871	nm0000958
2872	nm0000958
26172	nm0000958
4117	nm0000958
4234	nm0000958
2425	nm0000958
2370	nm0000958
7817	nm0000958
778	nm0000965
63082	nm0000965
6502	nm0000965
81562	nm0000965
52328	nm0000965
319	nm0000965
27790	nm0000965
3285	nm0000965
1658	nm0000965
101741	nm0000965
8684	nm0000975
26052	nm0000975
26151	nm0000975
7301	nm0000975
44657	nm0000975
4085	nm0000976
3104	nm0000976
3252	nm0000976
2340	nm0000976
3358	nm0000983
4276	nm0000983
1414	nm0000983
2829	nm0000983
1784	nm0000985
1958	nm0000985
2243	nm0000985
27808	nm0000985
82499	nm0000985
509	nm0001005
6671	nm0001005
71327	nm0001005
3127	nm0001005
1417	nm0001005
6885	nm0001005
953	nm0001008
954	nm0001008
1269	nm0001008
905	nm0001008
25827	nm0001008
1934	nm0001008
973	nm0001008
944	nm0001008
7071	nm0001023
7126	nm0001023
702	nm0001023
8602	nm0001023
50442	nm0001024
5108	nm0001024
8533	nm0001024
69712	nm0001024
110771	nm0001024
1194	nm0001045
4415	nm0001045
4834	nm0001045
1263	nm0001047
3769	nm0001047
608	nm0001053
1732	nm0001053
4027	nm0001053
55820	nm0001053
1394	nm0001053
61323	nm0001053
82459	nm0001053
1245	nm0001053
6440	nm0001053
3683	nm0001053
71464	nm0001053
50912	nm0001053
471	nm0001053
7367	nm0001053
6873	nm0001053
106766	nm0001053
608	nm0001054
1732	nm0001054
4027	nm0001054
55820	nm0001054
1394	nm0001054
61323	nm0001054
82459	nm0001054
1245	nm0001054
6440	nm0001054
3683	nm0001054
4881	nm0001054
71464	nm0001054
50912	nm0001054
471	nm0001054
7367	nm0001054
6873	nm0001054
106766	nm0001054
4896	nm0001060
5816	nm0001060
586	nm0001060
2133	nm0001060
40826	nm0001060
2953	nm0001060
3156	nm0001060
500	nm0001060
186	nm0001060
2432	nm0001060
74530	nm0001060
6711	nm0001068
3556	nm0001068
45880	nm0001068
81791	nm0001068
103137	nm0001068
3897	nm0001081
1393	nm0001081
2248	nm0001081
4975	nm0001081
3261	nm0001081
91653	nm0001081
39231	nm0001081
2231	nm0001093
5893	nm0001093
373	nm0001093
4821	nm0001093
54331	nm0001093
34536	nm0001093
2003	nm0001102
1130	nm0001102
7990	nm0001102
3024	nm0001102
2004	nm0001102
4121	nm0001102
1920	nm0001102
26492	nm0001102
7743	nm0001102
4079	nm0001102
6946	nm0001102
2072	nm0001102
318	nm0001104
56145	nm0001104
3147	nm0001104
4994	nm0001104
457	nm0001112
6297	nm0001112
1385	nm0001112
836	nm0001112
5093	nm0001112
4466	nm0001112
1892	nm0001112
48412	nm0001112
3089	nm0001120
6611	nm0001120
4424	nm0001120
3808	nm0001120
593	nm0001129
508	nm0001129
8781	nm0001129
2859	nm0001129
7478	nm0001129
4410	nm0001129
2247	nm0001129
43910	nm0001129
2988	nm0001129
62344	nm0001129
514	nm0001130
4239	nm0001130
94	nm0001130
6327	nm0001130
2587	nm0001130
176	nm0001139
79073	nm0001139
2000	nm0001149
2005	nm0001149
2640	nm0001149
1350	nm0001149
2641	nm0001149
43936	nm0001149
3479	nm0001149
1597	nm0001149
3087	nm0001149
6959	nm0001149
1918	nm0001149
2001	nm0001149
368	nm0001149
2002	nm0001149
23	nm0001149
4929	nm0001149
7030	nm0001149
2316	nm0001162
1541	nm0001162
62265	nm0001162
902	nm0001175
6662	nm0001175
1125	nm0001175
7073	nm0001175
1081	nm0001175
5004	nm0001175
4802	nm0001175
4263	nm0001175
1083	nm0001175
3394	nm0001175
6663	nm0001175
8596	nm0001175
6658	nm0001175
3742	nm0001178
7756	nm0001178
539	nm0001188
70293	nm0001188
1409	nm0001188
33836	nm0001188
2424	nm0001188
6509	nm0001202
31522	nm0001202
6126	nm0001202
5763	nm0001202
3272	nm0001206
1785	nm0001206
426	nm0001206
25	nm0001214
7791	nm0001214
27002	nm0001219
5046	nm0001219
6879	nm0001219
1620	nm0001219
81	nm0001219
62799	nm0001219
4814	nm0001219
1095	nm0001226
4043	nm0001226
662	nm0001226
6322	nm0001226
1006	nm0001226
52456	nm0001226
1193	nm0001232
1225	nm0001232
3174	nm0001232
1120	nm0001232
26422	nm0001232
5847	nm0001232
5145	nm0001232
5142	nm0001232
5646	nm0001232
52448	nm0001232
2278	nm0001239
1267	nm0001239
7062	nm0001239
3634	nm0001239
5062	nm0001239
26148	nm0001239
880	nm0001239
3316	nm0001239
3481	nm0001241
2020	nm0001241
47629	nm0001241
6552	nm0001241
1179	nm0001241
5367	nm0001241
26838	nm0001241
3547	nm0001241
106438	nm0001241
42018	nm0001241
92	nm0001241
2252	nm0001241
1997	nm0001243
1953	nm0001243
7040	nm0001243
53127	nm0001243
6219	nm0001243
3513	nm0001243
77846	nm0001243
95761	nm0001243
1916	nm0001252
27664	nm0001252
477	nm0001270
1995	nm0001270
79	nm0001270
3698	nm0001274
3270	nm0001274
414	nm0001274
71429	nm0001281
93855	nm0001281
47970	nm0001282
80939	nm0001282
2570	nm0001282
4231	nm0001282
3911	nm0001302
1449	nm0001302
